fall-01 关键点数据
总帧数: 160, 关节数: 17, 通道: (x, y, conf)
标签分布: 正常=83, 失衡=30, 倒地=47
============================================================

--- 帧 0  标签=0 (正常) ---
关节            x        y     conf
鼻子      -0.0347  -0.5030   0.8061
左眼      -0.0136  -0.5302   0.8019
右眼      -0.0589  -0.5272   0.8111
左耳       0.0408  -0.5242   0.8143
右耳      -0.0831  -0.5121   0.7410
左肩       0.1103  -0.3761   0.7037
右肩      -0.1012  -0.3580   0.7554
左肘       0.1798  -0.1979   0.7157
右肘      -0.1495  -0.1767   0.7352
左腕       0.1979  -0.0106   0.6625
右腕      -0.1858  -0.0136   0.7179
左髋       0.0740  -0.0015   0.6703
右髋      -0.0740   0.0015   0.6835
左膝       0.1163   0.2674   0.7145
右膝      -0.0861   0.2674   0.7406
左踝       0.1073   0.4728   0.5786
右踝      -0.0650   0.4970   0.7049

--- 帧 1  标签=0 (正常) ---
关节            x        y     conf
鼻子       0.0000   0.0000   0.0000
左眼       0.0000   0.0000   0.0000
右眼       0.0000   0.0000   0.0000
左耳       0.0000   0.0000   0.0000
右耳       0.0000   0.0000   0.0000
左肩       0.0000   0.0000   0.0000
右肩       0.0000   0.0000   0.0000
左肘       0.0000   0.0000   0.0000
右肘       0.0000   0.0000   0.0000
左腕       0.0000   0.0000   0.0000
右腕       0.0000   0.0000   0.0000
左髋       0.0000   0.0000   0.0000
右髋       0.0000   0.0000   0.0000
左膝       0.0000   0.0000   0.0000
右膝       0.0000   0.0000   0.0000
左踝       0.0000   0.0000   0.0000
右踝       0.0000   0.0000   0.0000

--- 帧 2  标签=0 (正常) ---
关节            x        y     conf
鼻子       0.0000   0.0000   0.0000
左眼       0.0000   0.0000   0.0000
右眼       0.0000   0.0000   0.0000
左耳       0.0000   0.0000   0.0000
右耳       0.0000   0.0000   0.0000
左肩       0.0000   0.0000   0.0000
右肩       0.0000   0.0000   0.0000
左肘       0.0000   0.0000   0.0000
右肘       0.0000   0.0000   0.0000
左腕       0.0000   0.0000   0.0000
右腕       0.0000   0.0000   0.0000
左髋       0.0000   0.0000   0.0000
